,year,NAMELSAD10,pd_count
167,2008,Census Tract 1407.02,376
168,2008,Census Tract 1408,664
169,2008,Census Tract 1409,206
170,2008,Census Tract 1410,319
171,2008,Census Tract 1411,864
172,2008,Census Tract 1412,317
173,2008,Census Tract 1413,162
174,2008,Census Tract 1414,178
175,2008,Census Tract 1415,221
176,2008,Census Tract 1416.01,74
177,2008,Census Tract 1416.02,236
178,2008,Census Tract 1417,77
179,2008,Census Tract 1960,218
180,2009,Census Tract 1401,218
181,2009,Census Tract 1403.01,357
182,2009,Census Tract 1403.02,360
183,2009,Census Tract 1404,504
184,2009,Census Tract 1405,449
185,2009,Census Tract 1406,396
186,2009,Census Tract 1407.01,415
187,2009,Census Tract 1407.02,393
188,2009,Census Tract 1408,658
189,2009,Census Tract 1409,181
190,2009,Census Tract 1410,409
191,2009,Census Tract 1411,1003
192,2009,Census Tract 1412,334
193,2009,Census Tract 1413,158
194,2009,Census Tract 1414,170
195,2009,Census Tract 1415,191
196,2009,Census Tract 1416.01,68
197,2009,Census Tract 1416.02,318
198,2009,Census Tract 1417,74
199,2009,Census Tract 1960,269
200,2010,Census Tract 1401,242
201,2010,Census Tract 1403.01,421
202,2010,Census Tract 1403.02,422
203,2010,Census Tract 1404,505
204,2010,Census Tract 1405,514
205,2010,Census Tract 1406,432
206,2010,Census Tract 1407.01,442
207,2010,Census Tract 1407.02,610
208,2010,Census Tract 1408,776
209,2010,Census Tract 1409,207
210,2010,Census Tract 1410,400
211,2010,Census Tract 1411,953
212,2010,Census Tract 1412,459
213,2010,Census Tract 1413,182
214,2010,Census Tract 1414,154
215,2010,Census Tract 1415,216
216,2010,Census Tract 1416.01,85
217,2010,Census Tract 1416.02,378
218,2010,Census Tract 1417,112
219,2010,Census Tract 1960,273
220,2011,Census Tract 1401,244
221,2011,Census Tract 1403.01,361
222,2011,Census Tract 1403.02,456
223,2011,Census Tract 1404,477
224,2011,Census Tract 1405,434
225,2011,Census Tract 1406,339
226,2011,Census Tract 1407.01,445
227,2011,Census Tract 1407.02,547
228,2011,Census Tract 1408,998
229,2011,Census Tract 1409,223
230,2011,Census Tract 1410,440
231,2011,Census Tract 1411,926
232,2011,Census Tract 1412,388
233,2011,Census Tract 1413,179
234,2011,Census Tract 1414,163
235,2011,Census Tract 1415,248
236,2011,Census Tract 1416.01,75
237,2011,Census Tract 1416.02,295
238,2011,Census Tract 1417,113
239,2011,Census Tract 1960,236
240,2012,Census Tract 1401,203
241,2012,Census Tract 1403.01,369
242,2012,Census Tract 1403.02,432
243,2012,Census Tract 1404,619
244,2012,Census Tract 1405,487
245,2012,Census Tract 1406,371
246,2012,Census Tract 1407.01,395
247,2012,Census Tract 1407.02,676
248,2012,Census Tract 1408,1102
249,2012,Census Tract 1409,266
250,2012,Census Tract 1410,476
251,2012,Census Tract 1411,772
252,2012,Census Tract 1412,366
253,2012,Census Tract 1413,201
254,2012,Census Tract 1414,241
255,2012,Census Tract 1415,268
256,2012,Census Tract 1416.01,96
257,2012,Census Tract 1416.02,421
258,2012,Census Tract 1417,107
259,2012,Census Tract 1960,272
260,2013,Census Tract 1401,280
261,2013,Census Tract 1403.01,437
262,2013,Census Tract 1403.02,516
263,2013,Census Tract 1404,577
264,2013,Census Tract 1405,603
265,2013,Census Tract 1406,430
266,2013,Census Tract 1407.01,387
267,2013,Census Tract 1407.02,545
268,2013,Census Tract 1408,1001
269,2013,Census Tract 1409,255
270,2013,Census Tract 1410,458
271,2013,Census Tract 1411,624
272,2013,Census Tract 1412,313
273,2013,Census Tract 1413,242
274,2013,Census Tract 1414,203
275,2013,Census Tract 1415,261
276,2013,Census Tract 1416.01,108
277,2013,Census Tract 1416.02,396
278,2013,Census Tract 1417,156
279,2013,Census Tract 1960,320
280,2014,Census Tract 1401,218
281,2014,Census Tract 1403.01,470
282,2014,Census Tract 1403.02,436
283,2014,Census Tract 1404,535
284,2014,Census Tract 1405,595
285,2014,Census Tract 1406,352
286,2014,Census Tract 1407.01,472
287,2014,Census Tract 1407.02,450
288,2014,Census Tract 1408,665
289,2014,Census Tract 1409,268
290,2014,Census Tract 1410,379
291,2014,Census Tract 1411,685
292,2014,Census Tract 1412,336
293,2014,Census Tract 1413,232
294,2014,Census Tract 1414,163
295,2014,Census Tract 1415,211
296,2014,Census Tract 1416.01,128
297,2014,Census Tract 1416.02,276
298,2014,Census Tract 1417,126
299,2014,Census Tract 1960,306
300,2015,Census Tract 1401,232
301,2015,Census Tract 1403.01,395
302,2015,Census Tract 1403.02,518
303,2015,Census Tract 1404,632
304,2015,Census Tract 1405,486
305,2015,Census Tract 1406,337
306,2015,Census Tract 1407.01,376
307,2015,Census Tract 1407.02,338
308,2015,Census Tract 1408,530
309,2015,Census Tract 1409,166
310,2015,Census Tract 1410,368
311,2015,Census Tract 1411,521
312,2015,Census Tract 1412,245
313,2015,Census Tract 1413,143
314,2015,Census Tract 1414,159
315,2015,Census Tract 1415,220
316,2015,Census Tract 1416.01,104
317,2015,Census Tract 1416.02,341
318,2015,Census Tract 1417,137
319,2015,Census Tract 1960,303
320,2016,Census Tract 1401,288
321,2016,Census Tract 1403.01,412
322,2016,Census Tract 1403.02,515
323,2016,Census Tract 1404,638
324,2016,Census Tract 1405,586
325,2016,Census Tract 1406,280
326,2016,Census Tract 1407.01,403
327,2016,Census Tract 1407.02,328
